Glycan_ID	Glycan_Structure
G_47	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}
G_48	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}
G_49	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}
G_50	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}
G_51	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}
G_52	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}
G_53	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}
G_54	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}
G_55	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}
G_56	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}
G_57	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}
